outcome,strat_var,group,n,mean_cate,ci_low,ci_high
Adequate sleep only (arm 4),age band,55-65,134029,-0.0509769996577769,-0.051416673577528396,-0.0505373257380254
Adequate sleep only (arm 4),age band,>=65,57569,-0.03128064601391904,-0.03198284893283503,-0.03057844309500305
Adequate sleep only (arm 4),BMI band,<25,110898,-0.04119469897808644,-0.04164732039533284,-0.04074207756084004
Adequate sleep only (arm 4),BMI band,25-30,137385,-0.03307721256607845,-0.0334422482690168,-0.0327121768631401
Adequate sleep only (arm 4),BMI band,>=30,72905,-0.043953581131908045,-0.044531576010070024,-0.043375586253746067
all three (arm 7),sex,Female,180841,-0.08368114318727667,-0.08414681735242888,-0.08321546902212446
all three (arm 7),sex,Male,140347,-0.08400066306847921,-0.08454906001043505,-0.08345226612652337
all three (arm 7),age band,<55,129590,-0.0583168503345528,-0.058740440994391525,-0.05789325967471407
all three (arm 7),age band,55-65,134029,-0.1030803382442096,-0.10370896632078079,-0.10245171016763842
all three (arm 7),age band,>=65,57569,-0.09639193637920201,-0.09732793086524034,-0.09545594189316368
all three (arm 7),BMI band,<25,110898,-0.08851658583068935,-0.08917086597023782,-0.08786230569114087
all three (arm 7),BMI band,25-30,137385,-0.08112997101093618,-0.08165634057090015,-0.0806036014509722
all three (arm 7),BMI band,>=30,72905,-0.08174842976493926,-0.08243717674890373,-0.08105968278097479
