arm,label,n_healthy_beh,n_treated,cvd_events,cvd_rate,crude_rd_vs_ref,nb3_cate,n_ref,rate_ref
1,no_smk only,1,22,1,0.045454545454545456,0.0037878787878787915,-0.0704439738886749,24,0.041666666666666664
2,PA only,1,33,2,0.06060606060606061,0.018939393939393943,-0.02776864157833841,24,0.041666666666666664
3,no_smk + PA,2,48,3,0.0625,0.020833333333333336,-0.0791978219537718,24,0.041666666666666664
4,sleep only,1,11,0,0.0,-0.041666666666666664,-0.038348750289812425,24,0.041666666666666664
5,no_smk + sleep,2,17,3,0.17647058823529413,0.13480392156862747,-0.0786836780951618,24,0.041666666666666664
6,PA + sleep,2,25,3,0.12,0.07833333333333334,-0.04732736120174449,24,0.041666666666666664
7,all three,3,48,7,0.14583333333333334,0.10416666666666669,-0.08382076128249545,24,0.041666666666666664
