arm,label,rd_point,rd_ci_bound_near_null,rr_point,rr_ci_bound_near_null,evalue_point,evalue_ci_bound
1,no_smk only,-0.0704439738886749,-0.07014417751956807,0.5545334830392465,0.5564293051652748,3.006910911342886,2.9941108719498155
2,PA only,-0.02776864157833841,-0.027446264943187762,0.8243994573022992,0.8264380702436567,1.7213101873901282,1.7141122799957682
3,no_smk + PA,-0.0791978219537718,-0.07890713558989086,0.4991767790900211,0.5010149922812682,3.4210097873221508,3.405863566852074
4,sleep only,-0.038348750289812425,-0.03801238052272067,0.7574940299592209,0.7596211312609455,1.9702451672006627,1.9618786471685454
5,no_smk + sleep,-0.0786836780951618,-0.07839221069184764,0.5024280703115201,0.5042712225613797,3.394292412219791,3.3792927631304623
6,PA + sleep,-0.04732736120174449,-0.04702787206610321,0.7007159933253845,0.7026098725993243,2.207839655866267,2.1994209541447534
7,all three (no_smk+PA+sleep),-0.08382076128249545,-0.08353120070961317,0.4699427003291906,0.4717737943565502,3.6771511510434225,3.6602111893614806
